id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,suffer_score,kudos_count,start_latlng,end_latlng,distance_km,moving_time_min,elapsed_time_min,pace_min_per_km,speed_kmh
15242006707,Namiddagloop,Run,Run,2025-07-14 14:44:04+00:00,877.8,359,359,0.0,2.445,13.5,,,,,0,[],[],0.8777999999999999,5.983333333333333,5.983333333333333,6.8162831320726065,8.802
15242006804,Namiddagloop,Run,Run,2025-07-14 14:53:00+00:00,205.9,184,184,0.0,1.119,1.56,,,,,0,[],[],0.2059,3.066666666666667,3.066666666666667,14.893961469969241,4.0284
15242006903,Namiddagloop,Run,Run,2025-07-14 14:58:17+00:00,854.5,324,324,0.0,2.637,14.288,,,,,0,[],[],0.8545,5.4,5.4,6.319485078993564,9.4932
15242006907,Namiddagloop,Run,Run,2025-07-16 13:50:05+00:00,7559.1,4194,4194,0.0,1.802,3.86,,,,,0,[],[],7.5591,69.9,69.9,9.247132595150218,6.4872000000000005
15326377415,Ochtendloop,Run,Run,2025-08-03 09:05:39+00:00,505.3,166,229,0.0,3.044,11.493,,,,,0,"[51.368489, 6.162772]","[51.370402, 6.167202]",0.5053,2.7666666666666666,3.816666666666667,5.47529520416914,10.958400000000001
15707621642,Avondloop,Run,Run,2025-09-05 18:37:54+00:00,1125.4,491,532,30.4,2.292,7.414,,,,,0,"[51.409998, 6.034827]","[51.410128, 6.036339]",1.1254000000000002,8.183333333333334,8.866666666666667,7.271488655885314,8.251199999999999
15724618206,Zeeland 16km,Run,Run,2025-09-07 07:55:48+00:00,16013.8,4958,5043,19.3,3.23,5.78,,,,55.0,4,"[51.668453, 4.08468]","[51.667295, 4.088324]",16.0138,82.63333333333334,84.05,5.160132718863315,11.628
15728361888,Namiddagloop,Run,Run,2025-09-07 13:52:12+00:00,565.5,522,873,7.2,1.083,1.86,,,,,0,"[51.74286, 3.799322]","[51.743017, 3.792295]",0.5655,8.7,14.55,15.384615384615383,3.8988
15772062030,Mont-Roig 10km,Run,Run,2025-09-11 08:29:33+00:00,10006.9,2999,3129,26.9,3.337,4.56,,,,33.0,4,"[41.041075, 0.980837]","[41.040922, 0.980501]",10.0069,49.983333333333334,52.15,4.994886861398968,12.013200000000001
15804370217,Platja Miami 10km,Run,Run,2025-09-14 08:01:29+00:00,10000.9,2888,2936,15.4,3.463,5.36,,,,,4,"[41.002807, 0.937674]","[41.001135, 0.936446]",10.0009,48.13333333333333,48.93333333333333,4.812900172317825,12.466800000000001
15865621109,Djer klaarstomen voor bridge2bridge!,Run,Run,2025-09-19 15:59:45+00:00,6036.7,1873,1879,8.5,3.223,4.98,,,,,3,"[51.371212, 6.127894]","[51.371255, 6.130126]",6.0367,31.216666666666665,31.316666666666666,5.171147591675363,11.6028
15920262878,ZONE 2 run,Run,Run,2025-09-24 12:54:56+00:00,10018.0,3699,3752,30.8,2.708,4.14,138.5,176.0,,66.0,4,"[51.361405, 6.184706]","[51.361249, 6.184194]",10.018,61.65,62.53333333333333,6.153922938710321,9.748800000000001
16012526841,Avondloop,Run,Run,2025-10-02 18:33:48+00:00,12586.1,4624,4679,10.7,2.722,6.384,153.9,178.0,,168.0,5,"[51.369122, 6.159947]","[51.362269, 6.150974]",12.5861,77.06666666666666,77.98333333333333,6.123157027726354,9.7992
16075737578,Bridge 2 Bridge 10km,Run,Run,2025-10-05 11:30:00+00:00,10000.0,2774,2774,0.0,3.605,0.0,,,,73.0,5,[],[],10.0,46.233333333333334,46.233333333333334,4.623333333333333,12.978
16088152956,Avondloop,Run,Run,2025-10-09 18:33:50+00:00,14010.2,5036,5039,37.0,2.782,4.0,150.2,165.0,,156.0,5,"[51.369456, 6.157708]","[51.369497, 6.159912]",14.010200000000001,83.93333333333334,83.98333333333333,5.990873316107788,10.0152
16112837933,SMRC 10km (easy),Run,Run,2025-10-12 08:04:25+00:00,9801.5,3687,3816,16.2,2.658,4.0,152.4,162.0,,119.0,4,"[51.369459, 6.164749]","[51.37041, 6.166939]",9.8015,61.45,63.6,6.269448553792786,9.5688
16162918315,Avondloop,Run,Run,2025-10-16 19:15:51+00:00,14018.9,5058,5110,45.6,2.772,3.94,146.4,165.0,,135.0,6,"[51.368785, 6.158992]","[51.369206, 6.159709]",14.0189,84.3,85.16666666666667,6.013310602115715,9.979199999999999
16187234144,SMRC herstelrun,Run,Run,2025-10-19 08:05:01+00:00,10229.6,4024,4173,42.8,2.542,6.873,136.9,157.0,,61.0,3,"[51.369441, 6.164513]","[51.370585, 6.167146]",10.2296,67.06666666666666,69.55,6.556137744062981,9.1512
16242776426,8km Zone2 // 3km Tempo 05:05-05:10,Run,Run,2025-10-24 16:23:46+00:00,11014.4,3744,3853,43.2,2.942,6.84,157.4,179.0,,125.0,7,"[51.370597, 6.143138]","[51.370431, 6.140206]",11.0144,62.4,64.21666666666667,5.665310865775711,10.5912
16258248206,SMRC herstelrun (zone2),Run,Run,2025-10-26 08:02:05+00:00,9741.0,3441,3723,67.0,2.831,10.25,147.6,166.0,,67.0,9,"[51.369446, 6.164526]","[51.371205, 6.167354]",9.741,57.35,62.05,5.887485884406119,10.1916
16283542308,Namiddagloop,Run,Run,2025-10-28 17:39:32+00:00,339.8,105,109,0.0,3.236,3.84,137.1,154.0,,1.0,1,"[51.357774, 6.211147]","[51.359059, 6.207097]",0.3398,1.75,1.8166666666666667,5.150088287227781,11.649600000000001
16283542321,Poging 1 - 5km Sub20,Run,Run,2025-10-28 17:41:39+00:00,5012.4,1234,1238,4.6,4.062,5.34,179.0,190.0,,76.0,10,"[51.35943, 6.206978]","[51.357497, 6.215634]",5.0123999999999995,20.566666666666666,20.633333333333333,4.103157502726572,14.6232
16305002314,8km Zone2 // 3km Tempo 05:05-05:10,Run,Run,2025-10-30 18:32:12+00:00,11011.8,3785,3789,10.0,2.909,4.66,150.4,178.0,,66.0,7,"[51.369256, 6.159529]","[51.367511, 6.163294]",11.0118,63.083333333333336,63.15,5.728703148743469,10.4724
16328208534,SMRC 5km herstelrun,Run,Run,2025-11-02 08:40:24+00:00,5163.8,1827,1832,12.8,2.826,3.96,144.3,158.0,,27.0,9,"[51.369493, 6.164166]","[51.370512, 6.167021]",5.1638,30.45,30.533333333333335,5.896820171191758,10.1736
16376782156,7km Zone2 // 5km Tempo 05:05-05:10,Run,Run,2025-11-06 18:38:09+00:00,12004.5,4020,4105,25.0,2.986,5.36,148.9,171.0,,66.0,8,"[51.369311, 6.159101]","[51.368781, 6.158905]",12.0045,67.0,68.41666666666667,5.58124036819526,10.749600000000001
16400840209,SMRC herstelrun,Run,Run,2025-11-09 08:02:44+00:00,11966.3,3900,4222,48.4,3.068,7.8,152.4,171.0,,91.0,7,"[51.3695, 6.164262]","[51.3706, 6.167124]",11.966299999999999,65.0,70.36666666666666,5.4319213123521894,11.0448
16420834219,10km Zone2 (easy run),Run,Run,2025-11-11 06:22:49+00:00,10010.3,3469,3653,52.0,2.886,7.333,145.2,160.0,,53.0,6,"[51.361383, 6.184638]","[51.360037, 6.181448]",10.010299999999999,57.81666666666667,60.88333333333333,5.775717677458885,10.389600000000002
16448508880,7km Zone2 // 5km Tempo 05:05-05:10,Run,Run,2025-11-13 18:35:27+00:00,12011.9,4033,4172,36.4,2.978,4.74,148.2,173.0,,66.0,9,"[51.369098, 6.158968]","[51.368903, 6.158403]",12.011899999999999,67.21666666666667,69.53333333333333,5.595839681205028,10.7208
16472031532,SMRC herstelrun,Run,Run,2025-11-16 08:00:36+00:00,11455.9,3989,4241,45.4,2.872,4.863,152.8,164.0,,98.0,9,"[51.36943, 6.164461]","[51.370455, 6.166805]",11.4559,66.48333333333333,70.68333333333334,5.803414252335769,10.3392
16491531401,12km Zone2 (easy run),Run,Run,2025-11-18 06:26:03+00:00,12013.4,4275,4396,64.6,2.81,6.57,155.9,169.0,,115.0,7,"[51.361425, 6.184707]","[51.361199, 6.184366]",12.013399999999999,71.25,73.26666666666667,5.930877187141026,10.116
16517645803,6km Zone2 // 7km Tempo 05:05,Run,Run,2025-11-20 18:43:06+00:00,13012.4,4169,4343,60.6,3.121,9.074,156.1,176.0,,114.0,11,"[51.368582, 6.161451]","[51.371571, 6.161884]",13.0124,69.48333333333333,72.38333333333334,5.339778467717972,11.2356
16540187879,SMRC tempo run 04:49,Run,Run,2025-11-23 08:03:52+00:00,11527.2,3327,3649,44.8,3.465,6.8,166.6,182.0,,129.0,14,"[51.369463, 6.164198]","[51.370884, 6.167335]",11.5272,55.45,60.81666666666667,4.810361579568325,12.474
16558863639,Poging 2 - 5km Sub20,Run,Run,2025-11-25 07:04:42+00:00,5009.5,1230,1234,6.0,4.073,5.38,178.1,186.0,,77.0,11,"[51.367509, 6.205716]","[51.357305, 6.204843]",5.0095,20.5,20.566666666666666,4.09222477293143,14.662800000000002
16585162279,6km Zone2 // 7km Tempo 05:05,Run,Run,2025-11-27 18:36:47+00:00,13011.2,4055,4300,58.6,3.209,8.998,158.4,172.0,,117.0,14,"[51.369123, 6.159972]","[51.370682, 6.161418]",13.0112,67.58333333333333,71.66666666666667,5.194242908673552,11.5524
16647982546,Inspanningstest VieCuri,Run,Run,2025-12-04 13:48:27+00:00,5563.3,1607,1754,0.0,3.462,5.1,162.6,179.0,,62.0,9,[],[],5.5633,26.783333333333335,29.233333333333334,4.814288881299469,12.4632
16672264399,SMRC herstelrun (Zone 2),Run,Run,2025-12-07 08:04:34+00:00,9672.9,3399,3596,25.8,2.846,5.694,139.5,155.0,,27.0,8,"[51.370136, 6.167842]","[51.369925, 6.167716]",9.6729,56.65,59.93333333333333,5.856568350753134,10.245600000000001
16716182138,Shake-Out Run Zone2,Run,Run,2025-12-11 19:02:15+00:00,7522.5,2791,2794,24.8,2.695,3.74,138.7,166.0,,20.0,6,"[51.368567, 6.158875]","[51.368911, 6.159209]",7.5225,46.516666666666666,46.56666666666667,6.183671208596433,9.702
16741064102,HYROX GENT,Run,Run,2025-12-14 13:40:14+00:00,10430.3,4851,4851,0.0,2.15,5.22,181.4,193.0,,317.0,8,[],[],10.430299999999999,80.85,80.85,7.751454895832335,7.74
16785808909,Herstelloopje,Run,Run,2025-12-19 15:46:43+00:00,10034.8,3564,3706,48.0,2.816,8.389,144.5,162.0,,53.0,8,"[51.37028, 6.143491]","[51.367035, 6.142251]",10.034799999999999,59.4,61.766666666666666,5.91940048630765,10.137599999999999
16799347131,12km Zone2 // 3km Tempo 04:20,Run,Run,2025-12-21 07:30:43+00:00,15282.2,5198,5739,40.6,2.94,7.233,147.1,193.0,,33.0,6,"[51.361407, 6.18461]","[51.369838, 6.167738]",15.282200000000001,86.63333333333334,95.65,5.668904564351555,10.584
16815135483,Namiddagloop,Run,Run,2025-12-22 15:21:43+00:00,562.6,223,334,3.6,2.523,4.78,118.0,118.0,,0.0,4,"[51.356969, 6.177461]","[51.356325, 6.175471]",0.5626,3.716666666666667,5.566666666666666,6.606232965991231,9.0828
16817856713,6km Zone2 // 5km Tempo 04:35,Run,Run,2025-12-23 09:27:16+00:00,11003.5,3489,3494,20.4,3.154,4.46,150.2,180.0,,31.0,6,"[51.369389, 6.159178]","[51.369045, 6.160111]",11.0035,58.15,58.233333333333334,5.284682146589721,11.3544
16836950866,6km Zone2 // 7km Tempo 05:00,Run,Run,2025-12-25 13:15:22+00:00,13162.5,4164,4251,49.8,3.161,5.151,151.9,175.0,,30.0,8,"[51.36925, 6.158572]","[51.368986, 6.159161]",13.1625,69.4,70.85,5.27255460588794,11.3796
16860965130,SMRC herstelrun,Run,Run,2025-12-28 08:04:07+00:00,10012.2,3430,3662,27.8,2.919,4.8,139.7,154.0,,12.0,14,"[51.370144, 6.167852]","[51.369901, 6.167732]",10.0122,57.166666666666664,61.03333333333333,5.709700831652051,10.5084
16881297185,5km Zone 2 // 6km Tempo 04:35,Run,Run,2025-12-30 09:17:11+00:00,10414.0,3578,3836,9.0,2.911,4.915,150.3,177.0,,34.0,6,"[51.370423, 6.144273]","[51.388791, 6.154075]",10.414,59.63333333333333,63.93333333333333,5.726265924076563,10.4796
16881476010,Cooling down,Run,Run,2025-12-30 10:28:11+00:00,3058.3,1118,1126,7.2,2.735,3.94,141.8,154.0,,4.0,3,"[51.388676, 6.153501]","[51.371745, 6.148545]",3.0583,18.633333333333333,18.766666666666666,6.092709457323785,9.846
16904605859,6km Zone2 // 7km Tempo 05:00,Run,Run,2026-01-01 15:01:28+00:00,13013.9,4174,4338,55.0,3.118,6.3,149.6,175.0,,31.0,8,"[51.369219, 6.159644]","[51.370365, 6.161242]",13.0139,69.56666666666666,72.3,5.345566407200506,11.2248
16958362162,5km Zone2,Run,Run,2026-01-06 16:40:14+00:00,5595.5,1906,1927,17.0,2.936,4.4,135.9,177.0,,8.0,5,"[51.367274, 6.157351]","[51.357323, 6.156454]",5.5955,31.766666666666666,32.11666666666667,5.677181068120215,10.5696
16958362150,4km Tempo 04:35 // Herstel tot Z2 // 2km Tempo 04:15,Run,Run,2026-01-06 17:12:40+00:00,6367.8,1770,1780,10.8,3.598,5.26,175.9,191.0,,46.0,9,"[51.356422, 6.155099]","[51.362824, 6.15744]",6.3678,29.5,29.666666666666668,4.632683187286033,12.9528
16958362067,Cooling down,Run,Run,2026-01-06 17:43:26+00:00,913.8,300,305,5.8,3.046,3.74,159.6,173.0,,2.0,2,"[51.36369, 6.158245]","[51.369265, 6.159506]",0.9138,5.0,5.083333333333333,5.471656817684395,10.9656
17007903950,Nike Run Club: zondag ochtendrun,Run,Run,2026-01-11 07:28:34+00:00,24.6,15,26,0.0,1.64,1.36,79.7,90.0,55.9,0.0,0,"[51.361489, 6.184737]","[51.361319, 6.18453]",0.0246,0.25,0.43333333333333335,10.16260162601626,5.904
17008284499,SMRC zone 2 run,Run,Run,2026-01-11 07:30:04+00:00,14003.1,5036,6180,45.6,2.781,7.308,142.7,172.0,,23.0,13,"[51.361241, 6.183741]","[51.37021, 6.167979]",14.0031,83.93333333333334,103.0,5.9939108721164125,10.011600000000001
17036412344,"5km Zone2 // 4km Tempo 04:25 // 
Herstel tot Zone2 // 2km Tempo 04:05",Run,Run,2026-01-13 16:40:43+00:00,11424.0,3561,3611,39.4,3.208,5.26,161.8,191.0,,47.0,5,"[51.361677, 6.184924]","[51.359187, 6.204144]",11.424,59.35,60.18333333333333,5.195203081232493,11.548800000000002
17036412254,Cooling down,Run,Run,2026-01-13 17:43:17+00:00,1384.8,551,566,0.0,2.513,3.24,146.6,159.0,,2.0,1,"[51.359944, 6.200866]","[51.361474, 6.18473]",1.3848,9.183333333333334,9.433333333333334,6.631523204313499,9.0468
17061651313,5km Zone 2 // 8km Tempo 04:55 (race paceeee),Run,Run,2026-01-15 18:48:24+00:00,13015.7,4142,4373,51.6,3.142,6.263,152.9,181.0,,47.0,7,"[51.36926, 6.159633]","[51.368483, 6.158352]",13.0157,69.03333333333333,72.88333333333334,5.303850990214381,11.3112
17080647004,HYROX specifiek: Warming up,Run,Run,2026-01-17 13:10:52+00:00,1346.3,459,459,0.0,2.933,3.84,151.3,162.0,,2.0,2,"[51.38889, 6.154118]","[51.388914, 6.15413]",1.3463,7.65,7.65,5.6822402139196315,10.5588
17088806535,SMRC herstelrun,Run,Run,2026-01-18 07:50:54+00:00,13002.1,4378,5178,27.2,2.97,7.457,149.2,177.0,,21.0,12,"[51.361278, 6.184458]","[51.369936, 6.167744]",13.0021,72.96666666666667,86.3,5.611913972871049,10.692
17141559236,Shake-Out Run ❌❌❌,Run,Run,2026-01-22 18:35:23+00:00,7010.3,2175,2334,34.6,3.223,6.312,150.7,173.0,,14.0,10,"[51.369267, 6.159521]","[51.365812, 6.155104]",7.0103,36.25,38.9,5.170962726274197,11.6028
17173669002,HYROX AMSTERDAM,Run,Run,2026-01-25 14:50:17+00:00,11392.1,4766,4766,0.0,2.39,4.9,179.7,194.0,,138.0,8,[],[],11.392100000000001,79.43333333333334,79.43333333333334,6.972668194040899,8.604000000000001
17225839217,15km Zone2,Run,Run,2026-01-30 10:17:15+00:00,15008.7,5224,5347,48.0,2.873,5.263,142.7,161.0,,20.0,9,"[51.361386, 6.18461]","[51.361309, 6.180241]",15.008700000000001,87.06666666666666,89.11666666666666,5.801079818149917,10.3428
17245911618,SMRC 10km rustige loop,Run,Run,2026-02-01 08:04:38+00:00,10541.2,3746,3850,27.2,2.814,4.06,133.2,152.0,,12.0,12,"[51.370415, 6.167316]","[51.370459, 6.166804]",10.5412,62.43333333333333,64.16666666666667,5.922791839006312,10.1304
17281686264,Aan-uit k's,Run,Run,2026-02-04 10:41:28+00:00,8167.9,2469,2469,10.3,3.308,4.86,165.3,175.0,,48.0,8,"[51.362176, 6.190884]","[51.362523, 6.192428]",8.1679,41.15,41.15,5.038014667172713,11.9088
17305106179,"4km Z2 // 7,5km 04:40 // 4,5km Z2",Run,Run,2026-02-06 11:29:02+00:00,16006.9,4969,5030,36.8,3.221,5.352,156.0,186.0,,55.0,8,"[51.361407, 6.18465]","[51.359401, 6.138536]",16.006899999999998,82.81666666666666,83.83333333333333,5.173810460905401,11.595600000000001
17324734061,SMRC 11km rustige loop,Run,Run,2026-02-08 07:51:31+00:00,11784.2,4040,4523,43.2,2.917,7.147,137.8,173.0,,15.0,15,"[51.362275, 6.175905]","[51.369827, 6.167679]",11.7842,67.33333333333333,75.38333333333334,5.713865458268981,10.501199999999999
17333070236,Ochtendloop,Run,Run,2026-02-08 08:33:55+00:00,5589.0,1989,2005,8.6,2.81,6.84,,,,,9,"[51.36992, 6.167706]","[51.370052, 6.167831]",5.589,33.15,33.416666666666664,5.931293612453032,10.116
17361471906,1km herhalingen (Tempo 04:10),Run,Run,2026-02-11 12:00:31+00:00,10464.1,3447,3724,26.4,3.036,5.5,161.5,189.0,83.6,42.0,6,"[51.361253, 6.186773]","[51.365918, 6.199323]",10.4641,57.45,62.06666666666667,5.490199826071999,10.9296
17382713395,"6km 05:10 // 5,5km 05:05 // 4,5km 04:40 // 1km Z2",Run,Run,2026-02-13 10:36:26+00:00,17030.9,5101,5358,58.2,3.339,8.014,153.2,185.0,,43.0,7,"[51.361234, 6.184138]","[51.361258, 6.180513]",17.030900000000003,85.01666666666667,89.3,4.991906867321554,12.0204
17402243728,SMRC 10km rustige loop,Run,Run,2026-02-15 08:00:54+00:00,10241.3,3408,3903,47.6,3.005,8.512,146.8,169.0,,14.0,7,"[51.369757, 6.164465]","[51.36932, 6.164363]",10.241299999999999,56.8,65.05,5.546170896272934,10.818
17426828912,2km Z2 // 4x (1km 04:45 en 1km 04:25) // 90s rust // 1km Z2,Run,Run,2026-02-17 12:33:58+00:00,11173.5,3291,3296,33.6,3.395,5.2,160.0,185.0,,50.0,7,"[51.361527, 6.184759]","[51.365071, 6.194015]",11.1735,54.85,54.93333333333333,4.908936322548888,12.222
17462210882,1km Z2 // 2km 05:05 // 2km 04:45 // 1km 04:30 // 1km 04:20 // 90s rust // 500m Z2,Run,Run,2026-02-20 16:03:52+00:00,7674.7,2260,2279,24.0,3.396,4.82,164.3,188.0,,35.0,10,"[51.361363, 6.186942]","[51.359484, 6.20289]",7.6747,37.666666666666664,37.983333333333334,4.907900851716245,12.2256
17481700469,Orion Nieuwjaarsloop 10km,Run,Run,2026-02-22 11:00:23+00:00,10076.8,2670,2690,25.6,3.746,6.5,185.2,195.0,,90.0,20,"[51.376595, 6.118332]","[51.376389, 6.118693]",10.076799999999999,44.5,44.833333333333336,4.416084471260718,13.4856
17518036934,"2km Z2 // 90s rust // 4x (1,2km 04:05 en 400m 03:45) // 1,6km Z2",Run,Run,2026-02-25 13:43:14+00:00,11480.3,3488,3519,34.8,3.291,6.42,165.1,188.0,,56.0,10,"[51.361711, 6.185005]","[51.361766, 6.185092]",11.4803,58.13333333333333,58.65,5.063746882340473,11.8476
17552307271,4km Z2 // 4km 05:00 // 9km 04:35 // 2km Z2,Run,Run,2026-02-28 12:24:19+00:00,19034.0,5600,5838,99.4,3.399,7.587,164.8,181.0,,86.0,11,"[51.361405, 6.184647]","[51.358314, 6.17871]",19.034,93.33333333333333,97.3,4.903506006794858,12.2364
17602408266,Rollende 300s,Run,Run,2026-03-04 16:28:10+00:00,10172.9,3146,3164,27.4,3.234,5.82,162.1,189.0,,43.0,12,"[51.361655, 6.18557]","[51.361343, 6.184526]",10.1729,52.43333333333333,52.733333333333334,5.154216922739173,11.6424
17625856128,Warming up Sub20,Run,Run,2026-03-06 16:45:08+00:00,1706.0,538,541,19.6,3.171,4.06,133.2,162.0,,2.0,6,"[51.361585, 6.185671]","[51.359064, 6.204867]",1.706,8.966666666666667,9.016666666666667,5.255959359124658,11.4156
17626108927,Poging 3 -> 5km Sub20 ✅🎉 (Ramadan),Run,Run,2026-03-06 16:58:10+00:00,5029.6,1189,1193,6.8,4.23,5.92,183.7,192.0,,39.0,15,"[51.360267, 6.206771]","[51.357084, 6.214886]",5.0296,19.816666666666666,19.883333333333333,3.9400084831133024,15.228000000000002
17626241836,Cooling down Sub20,Run,Run,2026-03-06 17:22:22+00:00,1479.9,485,488,0.0,3.051,3.98,165.8,173.0,,8.0,7,"[51.357955, 6.210358]","[51.362644, 6.191562]",1.4799,8.083333333333334,8.133333333333333,5.462080771223281,10.983600000000001
17648861806,Halve marathon easy pace (Z2),Run,Run,2026-03-08 12:48:56+00:00,21124.4,6941,7237,75.8,3.043,9.806,153.1,177.0,,45.0,12,"[51.361249, 6.183478]","[51.359184, 6.175817]",21.1244,115.68333333333334,120.61666666666666,5.476289661875998,10.9548
17686795808,Tempo 3-2-1,Run,Run,2026-03-11 16:36:10+00:00,11669.2,3576,3584,33.6,3.263,5.64,159.5,185.0,,47.0,9,"[51.361518, 6.184745]","[51.362118, 6.182134]",11.6692,59.6,59.733333333333334,5.107462379597573,11.7468
17710782618,19km blok lange duurloop,Run,Run,2026-03-13 17:02:56+00:00,18821.2,5777,6099,30.7,3.258,4.42,161.2,184.0,,88.0,12,"[51.369919, 6.158254]","[51.368591, 6.157568]",18.8212,96.28333333333333,101.65,5.1156851493705675,11.7288
17727058324,11km rustige loop (SMRC),Run,Run,2026-03-15 08:05:20+00:00,10293.7,3489,3830,40.6,2.95,7.304,149.2,183.0,,17.0,16,"[51.369949, 6.170396]","[51.370104, 6.167205]",10.293700000000001,58.15,63.833333333333336,5.6490863343598505,10.620000000000001
